player,team_id,role,prediction_period_id,target_cutoff,roster_continuity,team_change,role_change
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:ff185424af4133395119,2023-07-05 21:05:49+00:00,0.8333333333333334,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:36cf05276a8bbe55409a,2023-07-12 21:06:58+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:dd1399a0cf2f56138daa,2023-07-19 21:07:18+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:67a5ff4d5b051b402092,2023-07-27 21:07:41+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:4520b87081b51698489a,2023-08-03 21:07:08+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:a7fd1e72d2ba831ccc8d,2023-08-10 21:10:37+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:c21bdc9dc5e7a7f7922d,2023-08-19 20:18:53+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:27c11f42e65c97b901b8,2024-01-20 20:15:01+00:00,0.6,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:ab546300266e49331659,2024-01-27 20:15:48+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:f82eb58c594ccc349383,2024-02-02 21:12:22+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:06566a2ea584fecf6c15,2024-02-10 21:07:54+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:789a06731adc1e0c8798,2024-03-02 21:07:29+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:a0f9da327c11cf3cc717,2024-03-08 21:07:46+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:448a8f91622619afdbe7,2024-03-14 20:08:02+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:18a8b98d7b5d7f0b7105,2024-03-22 20:08:04+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:0c3bfca85acd014e625d,2024-03-30 20:22:30+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:697d8a8453920f1ff1c8,2024-06-15 20:11:50+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:ea10f8bb7f189dc4197a,2024-06-22 20:11:50+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:fb51ebc6418ce68c46c6,2024-06-27 20:07:21+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:0f3dd675ff7b55987f43,2024-07-20 20:10:15+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:29c7eddc03e68fe96070,2024-07-27 20:09:19+00:00,1.0,False,False
APA,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:03ffd32cfddfafb63d73,2024-08-03 20:08:15+00:00,1.0,False,False
