team_id,prediction_period_id,target_cutoff,prior_team_state,prior_team_strength,team_strength_uncertainty,team_core_strength,team_noncore_strength,team_role_balance,team_continuity,team_effective_evidence,source_max_timestamp,cutoff_safe,quality_status
oe:team:0dbb780176ecad18f17292d1f5653af,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,-0.363492424049175,2.260660171779821,-0.7221320343559643,,0.55,0.5,0.0,,True,PASS
oe:team:2e66da41dc460dd378e3bcc57042d31,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,-0.363492424049175,2.260660171779821,-0.7221320343559643,,0.55,0.5,0.0,,True,PASS
oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,-0.363492424049175,2.260660171779821,-0.7221320343559643,,0.55,0.5,0.0,,True,PASS
oe:team:87ee02298073abc2d55060f097d4041,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,-0.363492424049175,2.260660171779821,-0.7221320343559643,,0.55,0.5,0.0,,True,PASS
oe:team:8eb884e168f28402ce685bedebb5250,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,-0.363492424049175,2.260660171779821,-0.7221320343559643,,0.55,0.5,0.0,,True,PASS
oe:team:a22510a4756fa424cb0771b13261139,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,-0.363492424049175,2.260660171779821,-0.7221320343559643,,0.55,0.5,0.0,,True,PASS
oe:team:c334c629fea759876e9e04afbe4aee7,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,-0.363492424049175,2.260660171779821,-0.7221320343559643,,0.55,0.5,0.0,,True,PASS
oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,-0.363492424049175,2.260660171779821,-0.7221320343559643,,0.55,0.5,0.0,,True,PASS
oe:team:f7f7324c151aa6ed770b244ce08e027,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,-0.363492424049175,2.260660171779821,-0.7221320343559643,,0.55,0.5,0.0,,True,PASS
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:01bed218199c5fc6a295,2020-01-25T21:37:53+00:00,-0.7221320343559643,-0.363492424049175,2.260660171779821,-0.7221320343559643,,0.55,0.5,0.0,,True,PASS
