player_id,prediction_period_id,role,target_cutoff,playstyle_source,source_specific_availability,champion_distribution_evidence,history_fallback_evidence,role_prior_evidence,cutoff_safe
oe:player:05fafeaf23dc3285558a4e968970b9f,period:01bed218199c5fc6a295,sup,2020-01-25T21:37:53+00:00,PHASE_G_HISTORY_FALLBACK,GENERIC_PHASE_G_OUTPUT_ONLY_G1_G3_NOT_DISTINGUISHABLE,,0,True,True
oe:player:10fcffece0ac7be85f09c4b51a75762,period:01bed218199c5fc6a295,bot,2020-01-25T21:37:53+00:00,NOT_APPLICABLE,NOT_APPLICABLE_ROLE,,0,False,True
oe:player:20aba59cf47a04a6cf10436ce1946ac,period:01bed218199c5fc6a295,top,2020-01-25T21:37:53+00:00,PHASE_G_HISTORY_FALLBACK,GENERIC_PHASE_G_OUTPUT_ONLY_G1_G3_NOT_DISTINGUISHABLE,,0,True,True
oe:player:21f59b54f62b5b8b4bc0f63f0f617fc,period:01bed218199c5fc6a295,top,2020-01-25T21:37:53+00:00,PHASE_G_HISTORY_FALLBACK,GENERIC_PHASE_G_OUTPUT_ONLY_G1_G3_NOT_DISTINGUISHABLE,,0,True,True
oe:player:30bccf285c11c18d7698c98ca52d87d,period:01bed218199c5fc6a295,jgl,2020-01-25T21:37:53+00:00,NOT_APPLICABLE,NOT_APPLICABLE_ROLE,,0,False,True
oe:player:4046e5819c6e57ec8fa00b56834d8aa,period:01bed218199c5fc6a295,bot,2020-01-25T21:37:53+00:00,NOT_APPLICABLE,NOT_APPLICABLE_ROLE,,0,False,True
oe:player:419bc348a61e7433593ea741189d833,period:01bed218199c5fc6a295,jgl,2020-01-25T21:37:53+00:00,NOT_APPLICABLE,NOT_APPLICABLE_ROLE,,0,False,True
oe:player:4d2f4b9fa48af3a3618b2cbac02fa9b,period:01bed218199c5fc6a295,sup,2020-01-25T21:37:53+00:00,PHASE_G_HISTORY_FALLBACK,GENERIC_PHASE_G_OUTPUT_ONLY_G1_G3_NOT_DISTINGUISHABLE,,0,True,True
oe:player:4d38e91e966ad67aead69648253640e,period:01bed218199c5fc6a295,sup,2020-01-25T21:37:53+00:00,PHASE_G_HISTORY_FALLBACK,GENERIC_PHASE_G_OUTPUT_ONLY_G1_G3_NOT_DISTINGUISHABLE,,0,True,True
oe:player:51d421a31ce72460198ef946995fb11,period:01bed218199c5fc6a295,bot,2020-01-25T21:37:53+00:00,NOT_APPLICABLE,NOT_APPLICABLE_ROLE,,0,False,True
oe:player:526e67744f0b90739ec17c191c62d24,period:01bed218199c5fc6a295,bot,2020-01-25T21:37:53+00:00,NOT_APPLICABLE,NOT_APPLICABLE_ROLE,,0,False,True
oe:player:574ca24646bea0e378813db54092903,period:01bed218199c5fc6a295,top,2020-01-25T21:37:53+00:00,PHASE_G_HISTORY_FALLBACK,GENERIC_PHASE_G_OUTPUT_ONLY_G1_G3_NOT_DISTINGUISHABLE,,0,True,True
oe:player:5b4a9ba6121c6d0e37076f8f3523000,period:01bed218199c5fc6a295,mid,2020-01-25T21:37:53+00:00,NOT_APPLICABLE,NOT_APPLICABLE_ROLE,,0,False,True
oe:player:5cc4071294a16477e992b3c8a2b7715,period:01bed218199c5fc6a295,jgl,2020-01-25T21:37:53+00:00,NOT_APPLICABLE,NOT_APPLICABLE_ROLE,,0,False,True
oe:player:61f2c08eb43e1b4fc0bdd988013ee49,period:01bed218199c5fc6a295,top,2020-01-25T21:37:53+00:00,PHASE_G_HISTORY_FALLBACK,GENERIC_PHASE_G_OUTPUT_ONLY_G1_G3_NOT_DISTINGUISHABLE,,0,True,True
oe:player:63ba5c5e5bb73ace706183b5e05a27e,period:01bed218199c5fc6a295,mid,2020-01-25T21:37:53+00:00,NOT_APPLICABLE,NOT_APPLICABLE_ROLE,,0,False,True
oe:player:6841f2d68619d53bdd1cdbf30b5be2c,period:01bed218199c5fc6a295,sup,2020-01-25T21:37:53+00:00,PHASE_G_HISTORY_FALLBACK,GENERIC_PHASE_G_OUTPUT_ONLY_G1_G3_NOT_DISTINGUISHABLE,,0,True,True
